"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 16 09:10:39 GMT 2024","Thu May 16 09:10:46 GMT 2024","6056","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Thu May 16 09:13:02 GMT 2024","Thu May 16 09:13:05 GMT 2024","3401","chromium","","QA Automation > Our Story","","","Check the title for support page",""
"passed","Thu May 16 09:09:43 GMT 2024","Thu May 16 09:09:47 GMT 2024","4391","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response, and then close the card",""
"passed","Thu May 16 09:12:37 GMT 2024","Thu May 16 09:12:42 GMT 2024","4762","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on twelveth category",""
"passed","Thu May 16 09:10:51 GMT 2024","Thu May 16 09:10:54 GMT 2024","2937","chromium","","QA Automation > Our Story","","","Go Our Story and assert title",""
"passed","Thu May 16 09:12:52 GMT 2024","Thu May 16 09:12:57 GMT 2024","4791","chromium","","QA Automation > Blog Page","","","Click on second button of pagination present on blog landing page",""
"passed","Thu May 16 09:14:15 GMT 2024","Thu May 16 09:14:22 GMT 2024","6319","chromium","","QA Automation > Legal and Regulatory","","","Go to Legal & Regulatory and check if all the agreement pages can be visited",""
"passed","Thu May 16 09:09:21 GMT 2024","Thu May 16 09:09:25 GMT 2024","4467","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response, and then close the card",""
"passed","Thu May 16 09:11:46 GMT 2024","Thu May 16 09:11:51 GMT 2024","5224","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on second category",""
"passed","Thu May 16 09:11:05 GMT 2024","Thu May 16 09:11:10 GMT 2024","4993","chromium","","QA Automation > Our Story","","","Click on read full article of second business card",""
"passed","Thu May 16 09:15:09 GMT 2024","Thu May 16 09:15:13 GMT 2024","3908","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Mutual funds landing page and check for the overall functionality",""
"passed","Thu May 16 09:14:01 GMT 2024","Thu May 16 09:14:10 GMT 2024","9587","chromium","","QA Automation > GFP Summit","","","Go to GFP Summit 2023 landing page and assert response",""
"passed","Thu May 16 09:13:13 GMT 2024","Thu May 16 09:13:17 GMT 2024","3395","chromium","","QA Automation > Our Story","","","Click on whatsapp icon present on the support page",""
"passed","Thu May 16 09:13:20 GMT 2024","Thu May 16 09:13:23 GMT 2024","3059","chromium","","QA Automation > Become a QFA","","","Click on Join Now button",""
"passed","Thu May 16 09:13:57 GMT 2024","Thu May 16 09:14:01 GMT 2024","4082","chromium","","QA Automation > GFP Summit","","","Click on watch Now and assert response",""
"passed","Thu May 16 09:11:42 GMT 2024","Thu May 16 09:11:46 GMT 2024","3442","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on first category",""
"passed","Thu May 16 09:09:11 GMT 2024","Thu May 16 09:09:16 GMT 2024","5558","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Thu May 16 09:08:22 GMT 2024","Thu May 16 09:08:27 GMT 2024","4984","chromium","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Thu May 16 09:14:27 GMT 2024","Thu May 16 09:14:31 GMT 2024","3976","chromium","","QA Automation > Blogs","","","Go to Blogs landing page and assert response",""
"passed","Thu May 16 09:09:25 GMT 2024","Thu May 16 09:09:29 GMT 2024","4429","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response, and then close the card",""
"passed","Thu May 16 09:11:10 GMT 2024","Thu May 16 09:11:15 GMT 2024","5161","chromium","","QA Automation > Our Story","","","Click on read full article of third business card",""
"passed","Thu May 16 09:07:21 GMT 2024","Thu May 16 09:07:25 GMT 2024","3670","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Thu May 16 09:09:34 GMT 2024","Thu May 16 09:09:38 GMT 2024","4442","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response, and then close the card",""
"passed","Thu May 16 09:12:21 GMT 2024","Thu May 16 09:12:27 GMT 2024","5618","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on ninth category",""
"passed","Thu May 16 09:08:07 GMT 2024","Thu May 16 09:08:12 GMT 2024","4823","chromium","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Thu May 16 09:09:51 GMT 2024","Thu May 16 09:09:58 GMT 2024","6438","chromium","","QA Automation > MoneySign Guide Page","","","Click on the Read More present on the MoneySign Page",""
"passed","Thu May 16 09:07:57 GMT 2024","Thu May 16 09:08:02 GMT 2024","4824","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Thu May 16 09:09:38 GMT 2024","Thu May 16 09:09:43 GMT 2024","4321","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response, and then close the card",""
"passed","Thu May 16 09:11:56 GMT 2024","Thu May 16 09:12:01 GMT 2024","5131","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on fourth category",""
"passed","Thu May 16 09:15:18 GMT 2024","Thu May 16 09:15:23 GMT 2024","5552","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Crypto landing page and check for the overall functionality",""
"passed","Thu May 16 09:14:34 GMT 2024","Thu May 16 09:14:42 GMT 2024","7795","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Term Insurance detail page and check for the overall functionality",""
"passed","Thu May 16 09:10:34 GMT 2024","Thu May 16 09:10:39 GMT 2024","5890","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Thu May 16 09:13:31 GMT 2024","Thu May 16 09:13:35 GMT 2024","4125","chromium","","QA Automation > Become a QFA","","","Fill in mobile number and press tab button to switch the tab",""
"passed","Thu May 16 09:12:27 GMT 2024","Thu May 16 09:12:32 GMT 2024","5306","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on tenth category",""
"passed","Thu May 16 09:10:46 GMT 2024","Thu May 16 09:10:51 GMT 2024","5594","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Thu May 16 09:07:44 GMT 2024","Thu May 16 09:07:47 GMT 2024","2842","chromium","","QA Automation > Calculator's Landing Page","","","To check the title on Calculator Page",""
"passed","Thu May 16 09:13:47 GMT 2024","Thu May 16 09:13:54 GMT 2024","6452","chromium","","QA Automation > Become a QFA","","","To check the functionality for expansion and collapse tile",""
"passed","Thu May 16 09:12:42 GMT 2024","Thu May 16 09:12:47 GMT 2024","5061","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on thirteenth category",""
"passed","Thu May 16 09:10:27 GMT 2024","Thu May 16 09:10:34 GMT 2024","6245","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Thu May 16 09:08:02 GMT 2024","Thu May 16 09:08:07 GMT 2024","4718","chromium","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Thu May 16 09:14:42 GMT 2024","Thu May 16 09:14:49 GMT 2024","6616","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance landing page and check for the overall functionality",""
"passed","Thu May 16 09:09:16 GMT 2024","Thu May 16 09:09:21 GMT 2024","4471","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response, and then close the card",""
"passed","Thu May 16 09:14:52 GMT 2024","Thu May 16 09:14:58 GMT 2024","5365","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance detail page and check for the overall functionality",""
"passed","Thu May 16 09:09:02 GMT 2024","Thu May 16 09:09:06 GMT 2024","4705","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check if the expansion and collapse tile is functional and assert response",""
"passed","Thu May 16 09:13:35 GMT 2024","Thu May 16 09:13:40 GMT 2024","4480","chromium","","QA Automation > Become a QFA","","","Fill in city and press tab button to switch the tab",""
"passed","Thu May 16 09:09:47 GMT 2024","Thu May 16 09:09:51 GMT 2024","4238","chromium","","QA Automation > MoneySign Guide Page","","","Click on Download the App present on the MoneySign Page",""
"passed","Thu May 16 09:07:47 GMT 2024","Thu May 16 09:07:53 GMT 2024","5799","chromium","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Thu May 16 09:07:15 GMT 2024","Thu May 16 09:07:18 GMT 2024","3379","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Thu May 16 09:11:00 GMT 2024","Thu May 16 09:11:05 GMT 2024","5085","chromium","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Thu May 16 09:15:04 GMT 2024","Thu May 16 09:15:09 GMT 2024","5086","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Credit Card detail page and check for the overall functionality",""
"passed","Thu May 16 09:08:31 GMT 2024","Thu May 16 09:08:35 GMT 2024","3144","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check the title on Scoring and Ranking Landing Page",""
"passed","Thu May 16 09:13:27 GMT 2024","Thu May 16 09:13:31 GMT 2024","4102","chromium","","QA Automation > Become a QFA","","","Fill in email address and press tab button to switch the tab",""
"passed","Thu May 16 09:11:29 GMT 2024","Thu May 16 09:11:39 GMT 2024","9934","chromium","","QA Automation > Circle Of Trust","","","Click on the Circle of Trusts Load More section",""
"passed","Thu May 16 09:14:24 GMT 2024","Thu May 16 09:14:27 GMT 2024","3292","chromium","","QA Automation > Privacy Policy","","","Go to Privacy Policy landing page and assert response",""
"passed","Thu May 16 09:13:17 GMT 2024","Thu May 16 09:13:20 GMT 2024","3090","chromium","","QA Automation > Become a QFA","","","Assert title of the page for Become a QFA",""
"passed","Thu May 16 09:14:22 GMT 2024","Thu May 16 09:14:24 GMT 2024","2481","chromium","","QA Automation > Terms of use","","","Go to Terms of Use landing page and assert response",""
"passed","Thu May 16 09:07:18 GMT 2024","Thu May 16 09:07:21 GMT 2024","3369","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Thu May 16 09:08:40 GMT 2024","Thu May 16 09:08:45 GMT 2024","5178","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Health Insurance and assert response",""
"passed","Thu May 16 09:15:13 GMT 2024","Thu May 16 09:15:18 GMT 2024","4843","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Mutual Funds detail page and check for the overall functionality",""
"passed","Thu May 16 09:13:23 GMT 2024","Thu May 16 09:13:27 GMT 2024","4096","chromium","","QA Automation > Become a QFA","","","Fill in full name and press tab button to switch the tab",""
"passed","Thu May 16 09:07:11 GMT 2024","Thu May 16 09:07:15 GMT 2024","3598","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Thu May 16 09:13:05 GMT 2024","Thu May 16 09:13:08 GMT 2024","3351","chromium","","QA Automation > Our Story","","","Go to support landing page and assert response",""
"passed","Thu May 16 09:08:12 GMT 2024","Thu May 16 09:08:17 GMT 2024","4856","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Thu May 16 09:10:01 GMT 2024","Thu May 16 09:10:27 GMT 2024","26155","chromium","","QA Automation > Magazine Page","","","Go to Magazine section, click on every title and go back to the landing page",""
"passed","Thu May 16 09:09:06 GMT 2024","Thu May 16 09:09:11 GMT 2024","4225","chromium","","QA Automation > MoneySign Guide Page","","","To launch Moneysign page and assert title",""
"passed","Thu May 16 09:14:13 GMT 2024","Thu May 16 09:14:15 GMT 2024","2650","chromium","","QA Automation > Legal and Regulatory","","","Go to Legal & Regulatory landing page and assert response",""
"passed","Thu May 16 09:06:58 GMT 2024","Thu May 16 09:07:02 GMT 2024","3657","chromium","","QA Automation > Homepage","","","Go to home page and assert title of the page",""
"passed","Thu May 16 09:13:40 GMT 2024","Thu May 16 09:13:47 GMT 2024","7464","chromium","","QA Automation > Become a QFA","","","To assert toast for email which already exists",""
