"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 13 09:13:49 GMT 2024","Mon May 13 09:13:55 GMT 2024","5431","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on ninth category",""
"passed","Mon May 13 09:09:03 GMT 2024","Mon May 13 09:09:08 GMT 2024","5018","chromium","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
"passed","Mon May 13 09:15:26 GMT 2024","Mon May 13 09:15:33 GMT 2024","7061","chromium","","QA Automation > Become a QFA","","","To check the functionality for expansion and collapse tile",""
"passed","Mon May 13 09:10:43 GMT 2024","Mon May 13 09:10:50 GMT 2024","6753","chromium","","QA Automation > MoneySign Guide Page","","","Click on the Read More present on the MoneySign Page",""
"passed","Mon May 13 09:12:10 GMT 2024","Mon May 13 09:12:19 GMT 2024","9419","chromium","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Mon May 13 09:10:38 GMT 2024","Mon May 13 09:10:43 GMT 2024","4734","chromium","","QA Automation > MoneySign Guide Page","","","Click on Download the App present on the MoneySign Page",""
"passed","Mon May 13 09:14:44 GMT 2024","Mon May 13 09:14:51 GMT 2024","6800","chromium","","QA Automation > Our Story","","","Click on whatsapp icon present on the support page",""
"passed","Mon May 13 09:13:11 GMT 2024","Mon May 13 09:13:16 GMT 2024","5559","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on second category",""
"passed","Mon May 13 09:15:09 GMT 2024","Mon May 13 09:15:13 GMT 2024","4659","chromium","","QA Automation > Become a QFA","","","Fill in mobile number and press tab button to switch the tab",""
"passed","Mon May 13 09:14:32 GMT 2024","Mon May 13 09:14:36 GMT 2024","3891","chromium","","QA Automation > Our Story","","","Check the title for support page",""
"passed","Mon May 13 09:16:19 GMT 2024","Mon May 13 09:16:23 GMT 2024","3747","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Term Insurance Input page and check for the overall functionality",""
"passed","Mon May 13 09:11:29 GMT 2024","Mon May 13 09:11:35 GMT 2024","6198","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Mon May 13 09:13:07 GMT 2024","Mon May 13 09:13:11 GMT 2024","3757","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on first category",""
"passed","Mon May 13 09:16:41 GMT 2024","Mon May 13 09:16:47 GMT 2024","5627","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance detail page and check for the overall functionality",""
"passed","Mon May 13 09:08:01 GMT 2024","Mon May 13 09:08:05 GMT 2024","3759","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Mon May 13 09:11:18 GMT 2024","Mon May 13 09:11:23 GMT 2024","5791","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Mon May 13 09:08:43 GMT 2024","Mon May 13 09:08:48 GMT 2024","5058","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Mon May 13 09:11:44 GMT 2024","Mon May 13 09:12:10 GMT 2024","25929","chromium","","QA Automation > Our Story","","","Go Helping you achieve financial well-being section and click on expansion and collapse tile",""
"passed","Mon May 13 09:09:13 GMT 2024","Mon May 13 09:09:19 GMT 2024","5142","chromium","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Mon May 13 09:16:58 GMT 2024","Mon May 13 09:17:02 GMT 2024","4138","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Mutual funds landing page and check for the overall functionality",""
"passed","Mon May 13 09:08:58 GMT 2024","Mon May 13 09:09:03 GMT 2024","5159","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Mon May 13 09:10:53 GMT 2024","Mon May 13 09:11:18 GMT 2024","24257","chromium","","QA Automation > Magazine Page","","","Go to Magazine section, click on every title and go back to the landing page",""
"passed","Mon May 13 09:16:47 GMT 2024","Mon May 13 09:16:53 GMT 2024","6753","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Credit Card landing page and check for the overall functionality",""
"passed","Mon May 13 09:15:04 GMT 2024","Mon May 13 09:15:09 GMT 2024","4870","chromium","","QA Automation > Become a QFA","","","Fill in email address and press tab button to switch the tab",""
"passed","Mon May 13 09:15:36 GMT 2024","Mon May 13 09:15:40 GMT 2024","4391","chromium","","QA Automation > GFP Summit","","","Click on watch Now and assert response",""
"passed","Mon May 13 09:15:56 GMT 2024","Mon May 13 09:16:04 GMT 2024","7463","chromium","","QA Automation > Legal and Regulatory","","","Go to Legal & Regulatory and check if all the agreement pages can be visited",""
"passed","Mon May 13 09:11:23 GMT 2024","Mon May 13 09:11:29 GMT 2024","5709","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Mon May 13 09:14:17 GMT 2024","Mon May 13 09:14:23 GMT 2024","5734","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on fourteenth category",""
"passed","Mon May 13 09:10:23 GMT 2024","Mon May 13 09:10:28 GMT 2024","5134","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response, and then close the card",""
"passed","Mon May 13 09:09:54 GMT 2024","Mon May 13 09:09:59 GMT 2024","4484","chromium","","QA Automation > MoneySign Guide Page","","","To launch Moneysign page and assert title",""
"passed","Mon May 13 09:12:53 GMT 2024","Mon May 13 09:13:03 GMT 2024","10150","chromium","","QA Automation > Circle Of Trust","","","Click on the Circle of Trusts Load More section",""
"passed","Mon May 13 09:08:53 GMT 2024","Mon May 13 09:08:58 GMT 2024","5037","chromium","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Mon May 13 09:13:44 GMT 2024","Mon May 13 09:13:49 GMT 2024","5550","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on eighth category",""
"passed","Mon May 13 09:09:22 GMT 2024","Mon May 13 09:09:28 GMT 2024","5749","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Mon May 13 09:14:11 GMT 2024","Mon May 13 09:14:17 GMT 2024","5426","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on thirteenth category",""
"passed","Mon May 13 09:14:40 GMT 2024","Mon May 13 09:14:44 GMT 2024","4907","chromium","","QA Automation > Our Story","","","Click on the expansion and collapse tile present on Support page",""
"passed","Mon May 13 09:11:35 GMT 2024","Mon May 13 09:11:41 GMT 2024","5630","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Mon May 13 09:16:04 GMT 2024","Mon May 13 09:16:07 GMT 2024","2959","chromium","","QA Automation > Terms of use","","","Go to Terms of Use landing page and assert response",""
"passed","Mon May 13 09:14:51 GMT 2024","Mon May 13 09:14:55 GMT 2024","3385","chromium","","QA Automation > Become a QFA","","","Assert title of the page for Become a QFA",""
"passed","Mon May 13 09:15:40 GMT 2024","Mon May 13 09:15:50 GMT 2024","9868","chromium","","QA Automation > GFP Summit","","","Go to GFP Summit 2023 landing page and assert response",""
"passed","Mon May 13 09:14:00 GMT 2024","Mon May 13 09:14:06 GMT 2024","5563","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on eleventh category",""
"passed","Mon May 13 09:09:33 GMT 2024","Mon May 13 09:09:39 GMT 2024","5754","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Credit Card and assert response",""
"passed","Mon May 13 09:13:55 GMT 2024","Mon May 13 09:14:00 GMT 2024","5489","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on tenth category",""
"passed","Mon May 13 09:14:23 GMT 2024","Mon May 13 09:14:27 GMT 2024","4893","chromium","","QA Automation > Blog Page","","","Click on second button of pagination present on blog landing page",""
