"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 10 09:25:37 GMT 2024","Fri May 10 09:25:42 GMT 2024","4993","chromium","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
"passed","Fri May 10 09:32:10 GMT 2024","Fri May 10 09:32:14 GMT 2024","3718","chromium","","QA Automation > Privacy Policy","","","Go to Privacy Policy landing page and assert response",""
"passed","Fri May 10 09:24:43 GMT 2024","Fri May 10 09:24:47 GMT 2024","3664","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Fri May 10 09:31:45 GMT 2024","Fri May 10 09:31:55 GMT 2024","10103","chromium","","QA Automation > GFP Summit","","","Go to GFP Summit 2023 landing page and assert response",""
"passed","Fri May 10 09:26:12 GMT 2024","Fri May 10 09:26:18 GMT 2024","5235","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Fri May 10 09:25:32 GMT 2024","Fri May 10 09:25:37 GMT 2024","5035","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Fri May 10 09:25:12 GMT 2024","Fri May 10 09:25:17 GMT 2024","5188","chromium","","QA Automation > Calculator's Landing Page","","","To click on Old Vs New Calculator and assert response",""
"passed","Fri May 10 09:29:33 GMT 2024","Fri May 10 09:29:39 GMT 2024","5512","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on fourth category",""
"passed","Fri May 10 09:25:42 GMT 2024","Fri May 10 09:25:48 GMT 2024","5544","chromium","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Fri May 10 09:24:47 GMT 2024","Fri May 10 09:24:53 GMT 2024","6000","chromium","","QA Automation > Homepage","","","Click on download the app in How it Works ? section of Home Page",""
"passed","Fri May 10 09:30:46 GMT 2024","Fri May 10 09:30:50 GMT 2024","3118","chromium","","QA Automation > Our Story","","","Go to support landing page and assert response",""
