"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 29 09:26:45 GMT 2024","Mon Apr 29 09:26:48 GMT 2024","3372","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To check the title on Scoring and Ranking Landing Page",""
"passed","Mon Apr 29 09:26:17 GMT 2024","Mon Apr 29 09:26:22 GMT 2024","5009","chromium","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Mon Apr 29 09:28:22 GMT 2024","Mon Apr 29 09:28:28 GMT 2024","6430","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:27:39 GMT 2024","Mon Apr 29 09:27:44 GMT 2024","5037","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response, and then close the card",""
"passed","Mon Apr 29 09:27:49 GMT 2024","Mon Apr 29 09:27:54 GMT 2024","4917","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response, and then close the card",""
"passed","Mon Apr 29 09:25:06 GMT 2024","Mon Apr 29 09:25:10 GMT 2024","3806","chromium","","QA Automation > Homepage","","","Go to home page and assert title of the page",""
"passed","Mon Apr 29 09:26:34 GMT 2024","Mon Apr 29 09:26:39 GMT 2024","5249","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Mon Apr 29 09:26:22 GMT 2024","Mon Apr 29 09:26:27 GMT 2024","4898","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Mon Apr 29 09:28:56 GMT 2024","Mon Apr 29 09:29:01 GMT 2024","5040","Google Pixel 4","","QA Automation > Our Story","","","Click on read full article of third business card",""
"passed","Mon Apr 29 09:27:44 GMT 2024","Mon Apr 29 09:27:49 GMT 2024","5157","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response, and then close the card",""
"passed","Mon Apr 29 09:27:20 GMT 2024","Mon Apr 29 09:27:25 GMT 2024","4545","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Mon Apr 29 09:28:10 GMT 2024","Mon Apr 29 09:28:14 GMT 2024","3872","Google Pixel 4","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Mon Apr 29 09:25:49 GMT 2024","Mon Apr 29 09:25:54 GMT 2024","4750","Google Pixel 4","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Mon Apr 29 09:25:20 GMT 2024","Mon Apr 29 09:25:23 GMT 2024","3369","Google Pixel 4","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Mon Apr 29 09:26:12 GMT 2024","Mon Apr 29 09:26:17 GMT 2024","5224","chromium","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Mon Apr 29 09:26:39 GMT 2024","Mon Apr 29 09:26:45 GMT 2024","5281","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Mon Apr 29 09:27:54 GMT 2024","Mon Apr 29 09:27:59 GMT 2024","4944","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:07 GMT 2024","Mon Apr 29 09:26:12 GMT 2024","5038","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Mon Apr 29 09:25:16 GMT 2024","Mon Apr 29 09:25:19 GMT 2024","3492","chromium","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Mon Apr 29 09:28:41 GMT 2024","Mon Apr 29 09:28:45 GMT 2024","4131","Google Pixel 4","","QA Automation > Our Story","","","Go Helping you achieve financial well-being section and click on expansion and collapse tile",""
"passed","Mon Apr 29 09:28:06 GMT 2024","Mon Apr 29 09:28:10 GMT 2024","3673","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Mon Apr 29 09:27:39 GMT 2024","Mon Apr 29 09:27:44 GMT 2024","4745","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:42 GMT 2024","Mon Apr 29 09:26:46 GMT 2024","3361","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check the title on Scoring and Ranking Landing Page",""
"passed","Mon Apr 29 09:26:32 GMT 2024","Mon Apr 29 09:26:37 GMT 2024","5177","chromium","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Mon Apr 29 09:27:11 GMT 2024","Mon Apr 29 09:27:16 GMT 2024","5156","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To check if the expansion and collapse tile is functional and assert response",""
"passed","Mon Apr 29 09:28:45 GMT 2024","Mon Apr 29 09:28:51 GMT 2024","5356","Google Pixel 4","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Mon Apr 29 09:25:30 GMT 2024","Mon Apr 29 09:25:34 GMT 2024","3488","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Mon Apr 29 09:27:54 GMT 2024","Mon Apr 29 09:27:59 GMT 2024","4590","chromium","","QA Automation > MoneySign Guide Page","","","Click on Download the App present on the MoneySign Page",""
"passed","Mon Apr 29 09:25:56 GMT 2024","Mon Apr 29 09:26:02 GMT 2024","5478","chromium","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Mon Apr 29 09:28:38 GMT 2024","Mon Apr 29 09:28:41 GMT 2024","3333","Google Pixel 4","","QA Automation > Our Story","","","Go Our Story and assert title",""
"passed","Mon Apr 29 09:27:06 GMT 2024","Mon Apr 29 09:27:11 GMT 2024","5177","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Crypto and assert response",""
"passed","Mon Apr 29 09:27:59 GMT 2024","Mon Apr 29 09:28:06 GMT 2024","7174","chromium","","QA Automation > MoneySign Guide Page","","","Click on the Read More present on the MoneySign Page",""
"passed","Mon Apr 29 09:25:19 GMT 2024","Mon Apr 29 09:25:23 GMT 2024","4031","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Mon Apr 29 09:25:54 GMT 2024","Mon Apr 29 09:25:57 GMT 2024","3381","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To check the title on Calculator Page",""
"passed","Mon Apr 29 09:25:34 GMT 2024","Mon Apr 29 09:25:38 GMT 2024","3383","Google Pixel 4","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Mon Apr 29 09:28:48 GMT 2024","Mon Apr 29 09:28:53 GMT 2024","5037","chromium","","QA Automation > Our Story","","","Click on read full article of second business card",""
"passed","Mon Apr 29 09:25:10 GMT 2024","Mon Apr 29 09:25:16 GMT 2024","5472","chromium","","QA Automation > Homepage","","","Click on download the App present on 1 Finance Landing Page",""
"passed","Mon Apr 29 09:27:44 GMT 2024","Mon Apr 29 09:27:49 GMT 2024","4923","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:48 GMT 2024","Mon Apr 29 09:26:54 GMT 2024","5731","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Mon Apr 29 09:25:06 GMT 2024","Mon Apr 29 09:25:11 GMT 2024","4600","Google Pixel 4","","QA Automation > Homepage","","","Go to home page and assert title of the page",""
"passed","Mon Apr 29 09:28:28 GMT 2024","Mon Apr 29 09:28:34 GMT 2024","6010","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:25:11 GMT 2024","Mon Apr 29 09:25:17 GMT 2024","5639","Google Pixel 4","","QA Automation > Homepage","","","Click on download the App present on 1 Finance Landing Page",""
"passed","Mon Apr 29 09:28:53 GMT 2024","Mon Apr 29 09:28:59 GMT 2024","6444","chromium","","QA Automation > Our Story","","","Click on read full article of third business card",""
"passed","Mon Apr 29 09:25:53 GMT 2024","Mon Apr 29 09:25:56 GMT 2024","3301","chromium","","QA Automation > Calculator's Landing Page","","","To check the title on Calculator Page",""
"passed","Mon Apr 29 09:28:32 GMT 2024","Mon Apr 29 09:28:38 GMT 2024","5966","Google Pixel 4","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:26:46 GMT 2024","Mon Apr 29 09:26:51 GMT 2024","5185","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Mon Apr 29 09:26:59 GMT 2024","Mon Apr 29 09:27:06 GMT 2024","6863","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Mon Apr 29 09:27:34 GMT 2024","Mon Apr 29 09:27:39 GMT 2024","4857","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response, and then close the card",""
"passed","Mon Apr 29 09:25:23 GMT 2024","Mon Apr 29 09:25:27 GMT 2024","3386","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Mon Apr 29 09:29:01 GMT 2024","Mon Apr 29 09:29:06 GMT 2024","5204","Google Pixel 4","","QA Automation > Our Story","","","Click on read full article of fourth business card",""
"passed","Mon Apr 29 09:26:24 GMT 2024","Mon Apr 29 09:26:29 GMT 2024","4766","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Mon Apr 29 09:28:14 GMT 2024","Mon Apr 29 09:28:20 GMT 2024","5971","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:27:35 GMT 2024","Mon Apr 29 09:27:39 GMT 2024","4553","chromium","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response, and then close the card",""
"passed","Mon Apr 29 09:25:17 GMT 2024","Mon Apr 29 09:25:20 GMT 2024","3422","Google Pixel 4","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Mon Apr 29 09:25:30 GMT 2024","Mon Apr 29 09:25:34 GMT 2024","3652","Google Pixel 4","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Mon Apr 29 09:26:08 GMT 2024","Mon Apr 29 09:26:13 GMT 2024","5315","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Mon Apr 29 09:28:10 GMT 2024","Mon Apr 29 09:28:15 GMT 2024","5878","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:28:43 GMT 2024","Mon Apr 29 09:28:48 GMT 2024","5214","chromium","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Mon Apr 29 09:27:59 GMT 2024","Mon Apr 29 09:28:03 GMT 2024","4473","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Download the App present on the MoneySign Page",""
"passed","Mon Apr 29 09:26:03 GMT 2024","Mon Apr 29 09:26:08 GMT 2024","5277","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Old Vs New Calculator and assert response",""
"passed","Mon Apr 29 09:28:39 GMT 2024","Mon Apr 29 09:28:43 GMT 2024","4032","chromium","","QA Automation > Our Story","","","Go Helping you achieve financial well-being section and click on expansion and collapse tile",""
"passed","Mon Apr 29 09:25:27 GMT 2024","Mon Apr 29 09:25:30 GMT 2024","3415","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Mon Apr 29 09:27:02 GMT 2024","Mon Apr 29 09:27:07 GMT 2024","5400","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Crypto and assert response",""
"passed","Mon Apr 29 09:28:34 GMT 2024","Mon Apr 29 09:28:39 GMT 2024","4509","chromium","","QA Automation > Our Story","","","Go Our Story and assert title",""
"passed","Mon Apr 29 09:25:38 GMT 2024","Mon Apr 29 09:25:43 GMT 2024","5760","Google Pixel 4","","QA Automation > Homepage","","","Click on download the app in How it Works ? section of Home Page",""
"passed","Mon Apr 29 09:25:23 GMT 2024","Mon Apr 29 09:25:27 GMT 2024","3611","Google Pixel 4","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Mon Apr 29 09:26:19 GMT 2024","Mon Apr 29 09:26:24 GMT 2024","5347","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Mon Apr 29 09:28:20 GMT 2024","Mon Apr 29 09:28:26 GMT 2024","6012","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:27:07 GMT 2024","Mon Apr 29 09:27:12 GMT 2024","4113","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check if the expansion and collapse tile is functional and assert response",""
"passed","Mon Apr 29 09:28:26 GMT 2024","Mon Apr 29 09:28:32 GMT 2024","6089","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:25:42 GMT 2024","Mon Apr 29 09:25:48 GMT 2024","5579","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section on Home Page",""
"passed","Mon Apr 29 09:28:51 GMT 2024","Mon Apr 29 09:28:56 GMT 2024","5372","Google Pixel 4","","QA Automation > Our Story","","","Click on read full article of second business card",""
"passed","Mon Apr 29 09:27:16 GMT 2024","Mon Apr 29 09:27:21 GMT 2024","4681","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:02 GMT 2024","Mon Apr 29 09:26:07 GMT 2024","5199","chromium","","QA Automation > Calculator's Landing Page","","","To click on Old Vs New Calculator and assert response",""
"passed","Mon Apr 29 09:25:34 GMT 2024","Mon Apr 29 09:25:37 GMT 2024","3544","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Mon Apr 29 09:27:25 GMT 2024","Mon Apr 29 09:27:30 GMT 2024","4840","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:29 GMT 2024","Mon Apr 29 09:26:34 GMT 2024","5187","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
"passed","Mon Apr 29 09:28:03 GMT 2024","Mon Apr 29 09:28:10 GMT 2024","6511","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on the Read More present on the MoneySign Page",""
"passed","Mon Apr 29 09:26:51 GMT 2024","Mon Apr 29 09:26:57 GMT 2024","5559","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Credit Card and assert response",""
"passed","Mon Apr 29 09:25:48 GMT 2024","Mon Apr 29 09:25:53 GMT 2024","4847","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Mon Apr 29 09:26:37 GMT 2024","Mon Apr 29 09:26:42 GMT 2024","5046","chromium","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Mon Apr 29 09:27:26 GMT 2024","Mon Apr 29 09:27:30 GMT 2024","4675","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response, and then close the card",""
"passed","Mon Apr 29 09:28:15 GMT 2024","Mon Apr 29 09:28:22 GMT 2024","6195","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Mon Apr 29 09:26:13 GMT 2024","Mon Apr 29 09:26:19 GMT 2024","5366","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Mon Apr 29 09:27:49 GMT 2024","Mon Apr 29 09:27:54 GMT 2024","4766","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response, and then close the card",""
"passed","Mon Apr 29 09:26:54 GMT 2024","Mon Apr 29 09:26:59 GMT 2024","5034","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Credit Card and assert response",""
"passed","Mon Apr 29 09:25:37 GMT 2024","Mon Apr 29 09:25:42 GMT 2024","5415","chromium","","QA Automation > Homepage","","","Click on download the app in How it Works ? section of Home Page",""
"passed","Mon Apr 29 09:27:16 GMT 2024","Mon Apr 29 09:27:20 GMT 2024","4262","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","To launch Moneysign page and assert title",""
"passed","Mon Apr 29 09:25:43 GMT 2024","Mon Apr 29 09:25:49 GMT 2024","5926","Google Pixel 4","","QA Automation > Homepage","","","Click on download the app of FWP section on Home Page",""
"passed","Mon Apr 29 09:27:21 GMT 2024","Mon Apr 29 09:27:26 GMT 2024","5019","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response, and then close the card",""
"passed","Mon Apr 29 09:25:57 GMT 2024","Mon Apr 29 09:26:03 GMT 2024","5427","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Mon Apr 29 09:27:30 GMT 2024","Mon Apr 29 09:27:34 GMT 2024","4676","Google Pixel 4","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response, and then close the card",""
"passed","Mon Apr 29 09:27:12 GMT 2024","Mon Apr 29 09:27:16 GMT 2024","4242","chromium","","QA Automation > MoneySign Guide Page","","","To launch Moneysign page and assert title",""
"passed","Mon Apr 29 09:26:57 GMT 2024","Mon Apr 29 09:27:02 GMT 2024","5509","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Mon Apr 29 09:27:30 GMT 2024","Mon Apr 29 09:27:35 GMT 2024","4724","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response, and then close the card",""
"passed","Mon Apr 29 09:25:27 GMT 2024","Mon Apr 29 09:25:30 GMT 2024","3418","Google Pixel 4","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Mon Apr 29 09:28:59 GMT 2024","Mon Apr 29 09:29:05 GMT 2024","5226","chromium","","QA Automation > Our Story","","","Click on read full article of fourth business card",""
"passed","Mon Apr 29 09:26:27 GMT 2024","Mon Apr 29 09:26:32 GMT 2024","5178","chromium","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
