"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 24 09:16:14 GMT 2024","Fri May 24 09:16:20 GMT 2024","6788","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance landing page and check for the overall functionality",""
"passed","Fri May 24 09:14:19 GMT 2024","Fri May 24 09:14:24 GMT 2024","5365","chromium","","QA Automation > Blog Page","","","Click on Download the app and click on cancel button",""
"passed","Fri May 24 09:14:48 GMT 2024","Fri May 24 09:14:52 GMT 2024","4240","chromium","","QA Automation > Become a QFA","","","Fill in full name and press tab button to switch the tab",""
"passed","Fri May 24 09:16:20 GMT 2024","Fri May 24 09:16:25 GMT 2024","4865","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance Input page and check for the overall functionality",""
"passed","Fri May 24 09:13:19 GMT 2024","Fri May 24 09:13:24 GMT 2024","5446","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on fifth category",""
"passed","Fri May 24 09:09:47 GMT 2024","Fri May 24 09:09:53 GMT 2024","5408","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Health Insurance and assert response",""
"passed","Fri May 24 09:08:26 GMT 2024","Fri May 24 09:08:30 GMT 2024","3643","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Fri May 24 09:11:51 GMT 2024","Fri May 24 09:11:56 GMT 2024","5594","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Fri May 24 09:13:24 GMT 2024","Fri May 24 09:13:29 GMT 2024","5421","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on sixth category",""
"passed","Fri May 24 09:14:30 GMT 2024","Fri May 24 09:14:33 GMT 2024","3090","chromium","","QA Automation > Our Story","","","Go to support landing page and assert response",""
"passed","Fri May 24 09:09:03 GMT 2024","Fri May 24 09:09:08 GMT 2024","5109","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Fri May 24 09:10:18 GMT 2024","Fri May 24 09:10:22 GMT 2024","4620","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Fri May 24 09:12:55 GMT 2024","Fri May 24 09:12:58 GMT 2024","3647","chromium","","QA Automation > Blog Page","","","Go to Blog Landing page and assert response",""
"passed","Fri May 24 09:09:14 GMT 2024","Fri May 24 09:09:18 GMT 2024","4958","chromium","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Fri May 24 09:12:18 GMT 2024","Fri May 24 09:12:27 GMT 2024","9018","chromium","","QA Automation > Our Story","","","Click on read full article of third business card",""
"passed","Fri May 24 09:08:30 GMT 2024","Fri May 24 09:08:34 GMT 2024","3868","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Fri May 24 09:09:18 GMT 2024","Fri May 24 09:09:24 GMT 2024","5031","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Fri May 24 09:14:41 GMT 2024","Fri May 24 09:14:44 GMT 2024","3047","chromium","","QA Automation > Become a QFA","","","Assert title of the page for Become a QFA",""
"passed","Fri May 24 09:09:34 GMT 2024","Fri May 24 09:09:39 GMT 2024","4971","chromium","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Fri May 24 09:13:41 GMT 2024","Fri May 24 09:13:46 GMT 2024","5579","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on ninth category",""
"passed","Fri May 24 09:08:39 GMT 2024","Fri May 24 09:08:45 GMT 2024","5866","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section on Home Page",""
"passed","Fri May 24 09:11:56 GMT 2024","Fri May 24 09:11:59 GMT 2024","3327","chromium","","QA Automation > Our Story","","","Go Our Story and assert title",""
"passed","Fri May 24 09:14:33 GMT 2024","Fri May 24 09:14:38 GMT 2024","4709","chromium","","QA Automation > Our Story","","","Click on the expansion and collapse tile present on Support page",""
"passed","Fri May 24 09:11:07 GMT 2024","Fri May 24 09:11:10 GMT 2024","3338","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Fri May 24 09:15:20 GMT 2024","Fri May 24 09:15:23 GMT 2024","3389","chromium","","QA Automation > GFP Summit","","","Assert Url for the page",""
"passed","Fri May 24 09:10:32 GMT 2024","Fri May 24 09:10:37 GMT 2024","4735","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response, and then close the card",""
"passed","Fri May 24 09:11:34 GMT 2024","Fri May 24 09:11:39 GMT 2024","5691","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Fri May 24 09:12:03 GMT 2024","Fri May 24 09:12:09 GMT 2024","5440","chromium","","QA Automation > Our Story","","","Click on read full article of first business card",""
"passed","Fri May 24 09:12:37 GMT 2024","Fri May 24 09:12:45 GMT 2024","7946","chromium","","QA Automation > Circle Of Trust","","","Go to Circle of Trust Landing page and assert response",""
"passed","Fri May 24 09:08:53 GMT 2024","Fri May 24 09:08:58 GMT 2024","4958","chromium","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Fri May 24 09:10:13 GMT 2024","Fri May 24 09:10:18 GMT 2024","4450","chromium","","QA Automation > MoneySign Guide Page","","","To launch Moneysign page and assert title",""
"passed","Fri May 24 09:11:39 GMT 2024","Fri May 24 09:11:45 GMT 2024","5426","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Fri May 24 09:16:25 GMT 2024","Fri May 24 09:16:31 GMT 2024","5715","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Health Insurance detail page and check for the overall functionality",""
"passed","Fri May 24 09:11:45 GMT 2024","Fri May 24 09:11:51 GMT 2024","5805","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Fri May 24 09:08:45 GMT 2024","Fri May 24 09:08:50 GMT 2024","5279","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Fri May 24 09:09:08 GMT 2024","Fri May 24 09:09:14 GMT 2024","5076","chromium","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Fri May 24 09:09:58 GMT 2024","Fri May 24 09:10:03 GMT 2024","5419","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Fri May 24 09:16:47 GMT 2024","Fri May 24 09:16:51 GMT 2024","4747","chromium","","QA Automation > Scoring and Ranking --> all modules","","","Go to Mutual Funds detail page and check for the overall functionality",""
"passed","Fri May 24 09:08:19 GMT 2024","Fri May 24 09:08:22 GMT 2024","3671","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Fri May 24 09:09:28 GMT 2024","Fri May 24 09:09:34 GMT 2024","5190","chromium","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Fri May 24 09:15:27 GMT 2024","Fri May 24 09:15:37 GMT 2024","9771","chromium","","QA Automation > GFP Summit","","","Go to GFP Summit 2023 landing page and assert response",""
"passed","Fri May 24 09:09:42 GMT 2024","Fri May 24 09:09:47 GMT 2024","5196","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Fri May 24 09:13:02 GMT 2024","Fri May 24 09:13:08 GMT 2024","5372","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on second category",""
"passed","Fri May 24 09:08:05 GMT 2024","Fri May 24 09:08:11 GMT 2024","5993","chromium","","QA Automation > Homepage","","","Click on download the App present on 1 Finance Landing Page",""
"passed","Fri May 24 09:15:56 GMT 2024","Fri May 24 09:16:03 GMT 2024","6117","chromium","","QA Automation > Blogs","","","Go to Blogs landing page and assert response",""
"passed","Fri May 24 09:14:52 GMT 2024","Fri May 24 09:14:56 GMT 2024","4363","chromium","","QA Automation > Become a QFA","","","Fill in email address and press tab button to switch the tab",""
"passed","Fri May 24 09:10:51 GMT 2024","Fri May 24 09:10:56 GMT 2024","4761","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response, and then close the card",""
"passed","Fri May 24 09:08:15 GMT 2024","Fri May 24 09:08:19 GMT 2024","3602","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Fri May 24 09:15:50 GMT 2024","Fri May 24 09:15:53 GMT 2024","2886","chromium","","QA Automation > Terms of use","","","Go to Terms of Use landing page and assert response",""
"passed","Fri May 24 09:09:39 GMT 2024","Fri May 24 09:09:42 GMT 2024","3316","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check the title on Scoring and Ranking Landing Page",""
"passed","Fri May 24 09:15:40 GMT 2024","Fri May 24 09:15:43 GMT 2024","2839","chromium","","QA Automation > Legal and Regulatory","","","Go to Legal & Regulatory landing page and assert response",""
"passed","Fri May 24 09:15:05 GMT 2024","Fri May 24 09:15:13 GMT 2024","7645","chromium","","QA Automation > Become a QFA","","","To assert toast for email which already exists",""
"passed","Fri May 24 09:13:13 GMT 2024","Fri May 24 09:13:19 GMT 2024","5550","chromium","","QA Automation > Blog Page","","","Go to Blog landing page and click on fourth category",""
"passed","Fri May 24 09:11:00 GMT 2024","Fri May 24 09:11:07 GMT 2024","6734","chromium","","QA Automation > MoneySign Guide Page","","","Click on the Read More present on the MoneySign Page",""
"passed","Fri May 24 09:10:27 GMT 2024","Fri May 24 09:10:32 GMT 2024","4739","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response, and then close the card",""
"passed","Fri May 24 09:11:59 GMT 2024","Fri May 24 09:12:03 GMT 2024","3915","chromium","","QA Automation > Our Story","","","Go Helping you achieve financial well-being section and click on expansion and collapse tile",""
