"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 10 15:13:03 GMT 2024","Wed Apr 10 15:13:10 GMT 2024","6719","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response and close the card",""
"passed","Wed Apr 10 15:13:53 GMT 2024","Wed Apr 10 15:14:08 GMT 2024","14288","chromium","","QA Automation > Magazine Page","","","Go to Ask a QFA section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 15:13:44 GMT 2024","Wed Apr 10 15:13:50 GMT 2024","5824","chromium","","QA Automation > MoneySign Guide Page","","","Click on read more link",""
"passed","Wed Apr 10 15:14:08 GMT 2024","Wed Apr 10 15:14:13 GMT 2024","5658","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 15:12:50 GMT 2024","Wed Apr 10 15:12:56 GMT 2024","6787","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response and close the card",""
"passed","Wed Apr 10 15:12:36 GMT 2024","Wed Apr 10 15:12:43 GMT 2024","6780","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response and close the card",""
"passed","Wed Apr 10 15:14:13 GMT 2024","Wed Apr 10 15:14:19 GMT 2024","5351","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 15:13:10 GMT 2024","Wed Apr 10 15:13:17 GMT 2024","6780","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response and close the card",""
"passed","Wed Apr 10 15:12:43 GMT 2024","Wed Apr 10 15:12:50 GMT 2024","6913","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response and close the card",""
"passed","Wed Apr 10 15:14:25 GMT 2024","Wed Apr 10 15:14:30 GMT 2024","5441","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 15:13:24 GMT 2024","Wed Apr 10 15:13:31 GMT 2024","7242","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for next button in 8 MS profile section",""
"passed","Wed Apr 10 15:12:56 GMT 2024","Wed Apr 10 15:13:03 GMT 2024","6897","chromium","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response and close the card",""
"passed","Wed Apr 10 15:12:17 GMT 2024","Wed Apr 10 15:12:21 GMT 2024","3884","chromium","","QA Automation > Homepage","","","Go to home page and assert response",""
"passed","Wed Apr 10 15:12:24 GMT 2024","Wed Apr 10 15:12:29 GMT 2024","4782","chromium","","QA Automation > MoneySign Guide Page","","","To check the title of Moneysign page",""
"passed","Wed Apr 10 15:13:38 GMT 2024","Wed Apr 10 15:13:44 GMT 2024","5979","chromium","","QA Automation > MoneySign Guide Page","","","Scroll down and click on download the app section",""
"passed","Wed Apr 10 15:13:17 GMT 2024","Wed Apr 10 15:13:24 GMT 2024","6815","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response and close the card",""
"passed","Wed Apr 10 15:13:31 GMT 2024","Wed Apr 10 15:13:38 GMT 2024","7329","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for previous button in 8 MS profile section",""
"passed","Wed Apr 10 15:12:29 GMT 2024","Wed Apr 10 15:12:36 GMT 2024","6861","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Wed Apr 10 15:12:21 GMT 2024","Wed Apr 10 15:12:24 GMT 2024","3704","chromium","","QA Automation > Homepage","","","Click on download the App on Home Page",""
"passed","Wed Apr 10 15:14:19 GMT 2024","Wed Apr 10 15:14:25 GMT 2024","5992","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Wed Apr 10 15:13:50 GMT 2024","Wed Apr 10 15:13:53 GMT 2024","3383","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
