"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 23 09:24:24 GMT 2024","Tue Apr 23 09:24:29 GMT 2024","5187","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Tue Apr 23 09:22:58 GMT 2024","Tue Apr 23 09:23:02 GMT 2024","3590","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Tue Apr 23 09:25:00 GMT 2024","Tue Apr 23 09:25:05 GMT 2024","4211","Google Pixel 4","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Tue Apr 23 09:22:52 GMT 2024","Tue Apr 23 09:22:55 GMT 2024","3856","Google Pixel 4","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Tue Apr 23 09:23:02 GMT 2024","Tue Apr 23 09:23:06 GMT 2024","3925","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Tue Apr 23 09:23:55 GMT 2024","Tue Apr 23 09:24:00 GMT 2024","5178","chromium","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Tue Apr 23 09:24:10 GMT 2024","Tue Apr 23 09:24:15 GMT 2024","5287","chromium","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Tue Apr 23 09:24:33 GMT 2024","Tue Apr 23 09:24:38 GMT 2024","5791","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Health Insurance and assert response",""
"passed","Tue Apr 23 09:23:40 GMT 2024","Tue Apr 23 09:23:46 GMT 2024","5394","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Old Vs New Calculator and assert response",""
"passed","Tue Apr 23 09:23:06 GMT 2024","Tue Apr 23 09:23:10 GMT 2024","3866","Google Pixel 4","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Tue Apr 23 09:23:31 GMT 2024","Tue Apr 23 09:23:34 GMT 2024","3121","chromium","","QA Automation > Calculator's Landing Page","","","To check the title on Calculator Page",""
"passed","Tue Apr 23 09:23:03 GMT 2024","Tue Apr 23 09:23:06 GMT 2024","3645","Google Pixel 4","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Tue Apr 23 09:25:39 GMT 2024","Tue Apr 23 09:25:45 GMT 2024","6804","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:25:31 GMT 2024","Tue Apr 23 09:25:39 GMT 2024","7686","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:24:38 GMT 2024","Tue Apr 23 09:24:44 GMT 2024","5879","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Credit Card and assert response",""
"passed","Tue Apr 23 09:24:29 GMT 2024","Tue Apr 23 09:24:34 GMT 2024","5402","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Health Insurance and assert response",""
"passed","Tue Apr 23 09:23:10 GMT 2024","Tue Apr 23 09:23:14 GMT 2024","4042","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Tue Apr 23 09:25:52 GMT 2024","Tue Apr 23 09:25:58 GMT 2024","6006","Google Pixel 4","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:23:25 GMT 2024","Tue Apr 23 09:23:31 GMT 2024","5049","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Tue Apr 23 09:25:26 GMT 2024","Tue Apr 23 09:25:33 GMT 2024","6525","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:23:35 GMT 2024","Tue Apr 23 09:23:40 GMT 2024","5474","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Tue Apr 23 09:24:44 GMT 2024","Tue Apr 23 09:24:50 GMT 2024","5670","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Tue Apr 23 09:24:08 GMT 2024","Tue Apr 23 09:24:13 GMT 2024","5373","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
"passed","Tue Apr 23 09:24:27 GMT 2024","Tue Apr 23 09:24:33 GMT 2024","5776","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Term Insurance and assert response",""
"passed","Tue Apr 23 09:24:34 GMT 2024","Tue Apr 23 09:24:40 GMT 2024","5360","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Credit Card and assert response",""
"passed","Tue Apr 23 09:23:06 GMT 2024","Tue Apr 23 09:23:10 GMT 2024","3903","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Tue Apr 23 09:25:00 GMT 2024","Tue Apr 23 09:25:26 GMT 2024","26276","chromium","","QA Automation > Magazine Page","","","Go to Magazine section, click on every title and go back to the landing page",""
"passed","Tue Apr 23 09:24:00 GMT 2024","Tue Apr 23 09:24:05 GMT 2024","5168","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Funds and assert response",""
"passed","Tue Apr 23 09:22:55 GMT 2024","Tue Apr 23 09:22:58 GMT 2024","3636","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Tue Apr 23 09:23:34 GMT 2024","Tue Apr 23 09:23:39 GMT 2024","5511","chromium","","QA Automation > Calculator's Landing Page","","","To click on HRA Exemption and assert response",""
"passed","Tue Apr 23 09:22:51 GMT 2024","Tue Apr 23 09:22:55 GMT 2024","3656","chromium","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Tue Apr 23 09:24:15 GMT 2024","Tue Apr 23 09:24:21 GMT 2024","5161","chromium","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Tue Apr 23 09:23:32 GMT 2024","Tue Apr 23 09:23:35 GMT 2024","3237","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To check the title on Calculator Page",""
"passed","Tue Apr 23 09:24:40 GMT 2024","Tue Apr 23 09:24:46 GMT 2024","5789","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Mutual Fund and assert response",""
"passed","Tue Apr 23 09:25:45 GMT 2024","Tue Apr 23 09:25:52 GMT 2024","6616","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:23:20 GMT 2024","Tue Apr 23 09:23:25 GMT 2024","5830","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section on Home Page",""
"passed","Tue Apr 23 09:22:41 GMT 2024","Tue Apr 23 09:22:45 GMT 2024","4286","Google Pixel 4","","QA Automation > Homepage","","","Go to home page and assert title of the page",""
"passed","Tue Apr 23 09:24:13 GMT 2024","Tue Apr 23 09:24:18 GMT 2024","5207","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on NPS Calculator and assert response",""
"passed","Tue Apr 23 09:23:26 GMT 2024","Tue Apr 23 09:23:32 GMT 2024","5673","Google Pixel 4","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Tue Apr 23 09:24:50 GMT 2024","Tue Apr 23 09:24:55 GMT 2024","5423","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To click on Crypto and assert response",""
"passed","Tue Apr 23 09:25:45 GMT 2024","Tue Apr 23 09:25:52 GMT 2024","6363","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:23:50 GMT 2024","Tue Apr 23 09:23:55 GMT 2024","5039","chromium","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Tue Apr 23 09:23:46 GMT 2024","Tue Apr 23 09:23:51 GMT 2024","5383","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Tue Apr 23 09:25:05 GMT 2024","Tue Apr 23 09:25:31 GMT 2024","26317","Google Pixel 4","","QA Automation > Magazine Page","","","Go to Magazine section, click on every title and go back to the landing page",""
"passed","Tue Apr 23 09:23:39 GMT 2024","Tue Apr 23 09:23:44 GMT 2024","5139","chromium","","QA Automation > Calculator's Landing Page","","","To click on Old Vs New Calculator and assert response",""
"passed","Tue Apr 23 09:23:20 GMT 2024","Tue Apr 23 09:23:26 GMT 2024","6146","Google Pixel 4","","QA Automation > Homepage","","","Click on download the app of FWP section on Home Page",""
"passed","Tue Apr 23 09:23:51 GMT 2024","Tue Apr 23 09:23:57 GMT 2024","5754","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Increasing Contribution and assert response",""
"passed","Tue Apr 23 09:25:33 GMT 2024","Tue Apr 23 09:25:39 GMT 2024","6127","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Tue Apr 23 09:24:51 GMT 2024","Tue Apr 23 09:24:56 GMT 2024","4864","chromium","","QA Automation > Scoring and Ranking's Landing Page","","","To check if the expansion and collapse tile is functional and assert response",""
"passed","Tue Apr 23 09:22:45 GMT 2024","Tue Apr 23 09:22:52 GMT 2024","6138","Google Pixel 4","","QA Automation > Homepage","","","Click on download the App present on 1 Finance Landing Page",""
"passed","Tue Apr 23 09:23:44 GMT 2024","Tue Apr 23 09:23:50 GMT 2024","5279","chromium","","QA Automation > Calculator's Landing Page","","","To click on Mutual Fund Portfolio Overlap and assert response",""
"passed","Tue Apr 23 09:24:18 GMT 2024","Tue Apr 23 09:24:24 GMT 2024","5405","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Retirement Corpus and assert response",""
"passed","Tue Apr 23 09:24:05 GMT 2024","Tue Apr 23 09:24:10 GMT 2024","5175","chromium","","QA Automation > Calculator's Landing Page","","","To click on Loan Refinance and assert response",""
"passed","Tue Apr 23 09:22:59 GMT 2024","Tue Apr 23 09:23:03 GMT 2024","3622","Google Pixel 4","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Tue Apr 23 09:23:57 GMT 2024","Tue Apr 23 09:24:02 GMT 2024","5391","Google Pixel 4","","QA Automation > Calculator's Landing Page","","","To click on Insurance and assert response",""
"passed","Tue Apr 23 09:24:55 GMT 2024","Tue Apr 23 09:25:00 GMT 2024","5002","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To check if the expansion and collapse tile is functional and assert response",""
"passed","Tue Apr 23 09:24:24 GMT 2024","Tue Apr 23 09:24:27 GMT 2024","3352","Google Pixel 4","","QA Automation > Scoring and Ranking's Landing Page","","","To check the title on Scoring and Ranking Landing Page",""
