"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 12 06:58:54 GMT 2024","Fri Apr 12 06:59:01 GMT 2024","7273","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for next button in 8 MS profile section",""
"passed","Fri Apr 12 06:57:43 GMT 2024","Fri Apr 12 06:57:48 GMT 2024","4669","chromium","","QA Automation > Homepage","","","Click on download the app in How it Works ? section",""
"passed","Fri Apr 12 06:58:14 GMT 2024","Fri Apr 12 06:58:21 GMT 2024","6653","chromium","","QA Automation > MoneySign Guide Page","","","Click on Far-Sighted Eagle, assert response and close the card",""
"passed","Fri Apr 12 06:58:34 GMT 2024","Fri Apr 12 06:58:41 GMT 2024","6637","chromium","","QA Automation > MoneySign Guide Page","","","Click on Enlightened Whale, assert response and close the card",""
"passed","Fri Apr 12 06:59:01 GMT 2024","Fri Apr 12 06:59:08 GMT 2024","6986","chromium","","QA Automation > MoneySign Guide Page","","","Check the functionality for previous button in 8 MS profile section",""
"passed","Fri Apr 12 06:57:32 GMT 2024","Fri Apr 12 06:57:36 GMT 2024","3601","chromium","","QA Automation > Homepage","","","Click on insurance planning and assert response",""
"passed","Fri Apr 12 06:59:14 GMT 2024","Fri Apr 12 06:59:19 GMT 2024","5506","chromium","","QA Automation > MoneySign Guide Page","","","Click on read more link",""
"passed","Fri Apr 12 06:57:36 GMT 2024","Fri Apr 12 06:57:40 GMT 2024","3850","chromium","","QA Automation > Homepage","","","Click on investment planning and assert response",""
"passed","Fri Apr 12 06:59:50 GMT 2024","Fri Apr 12 06:59:56 GMT 2024","6163","chromium","","QA Automation > Magazine Page","","","Go to Personal Essay, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 06:57:13 GMT 2024","Fri Apr 12 06:57:17 GMT 2024","3836","chromium","","QA Automation > Homepage","","","Go to home page and assert response",""
"passed","Fri Apr 12 06:57:25 GMT 2024","Fri Apr 12 06:57:29 GMT 2024","3520","chromium","","QA Automation > Homepage","","","Click on liability planning and assert response",""
"passed","Fri Apr 12 06:57:40 GMT 2024","Fri Apr 12 06:57:43 GMT 2024","3369","chromium","","QA Automation > Homepage","","","Click on will planning and assert response",""
"passed","Fri Apr 12 06:59:23 GMT 2024","Fri Apr 12 06:59:38 GMT 2024","15446","chromium","","QA Automation > Magazine Page","","","Go to Ask a QFA section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 06:59:44 GMT 2024","Fri Apr 12 06:59:50 GMT 2024","5701","chromium","","QA Automation > Magazine Page","","","Go to Long Story Short section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 06:59:38 GMT 2024","Fri Apr 12 06:59:44 GMT 2024","5992","chromium","","QA Automation > Magazine Page","","","Go to Dispatch One Finance section, assert response and go back to the landing pagge",""
"passed","Fri Apr 12 06:58:08 GMT 2024","Fri Apr 12 06:58:14 GMT 2024","6559","chromium","","QA Automation > MoneySign Guide Page","","","Click on Persistant Horse, assert response and close the card",""
"passed","Fri Apr 12 06:58:41 GMT 2024","Fri Apr 12 06:58:47 GMT 2024","6698","chromium","","QA Automation > MoneySign Guide Page","","","Click on Tactical Tiger, assert response and close the card",""
"passed","Fri Apr 12 06:57:21 GMT 2024","Fri Apr 12 06:57:25 GMT 2024","3789","chromium","","QA Automation > Homepage","","","Click on cashflow planning and assert response",""
"passed","Fri Apr 12 06:57:29 GMT 2024","Fri Apr 12 06:57:32 GMT 2024","3496","chromium","","QA Automation > Homepage","","","Click on tax planning and assert response",""
"passed","Fri Apr 12 06:58:01 GMT 2024","Fri Apr 12 06:58:08 GMT 2024","6704","chromium","","QA Automation > MoneySign Guide Page","","","Click on vigilant turtle, assert response, and then close the card",""
"passed","Fri Apr 12 06:58:27 GMT 2024","Fri Apr 12 06:58:34 GMT 2024","6520","chromium","","QA Automation > MoneySign Guide Page","","","Click on Virtuous Elephant, assert response and close the card",""
"passed","Fri Apr 12 06:59:19 GMT 2024","Fri Apr 12 06:59:23 GMT 2024","3415","chromium","","QA Automation > Magazine Page","","","Go to magazine Landing page and assert response",""
"passed","Fri Apr 12 06:57:48 GMT 2024","Fri Apr 12 06:57:52 GMT 2024","4515","chromium","","QA Automation > Homepage","","","Click on download the app of FWP section",""
"passed","Fri Apr 12 06:58:21 GMT 2024","Fri Apr 12 06:58:27 GMT 2024","6642","chromium","","QA Automation > MoneySign Guide Page","","","Click on Opportunistic Lion, assert response and close the card",""
"passed","Fri Apr 12 06:57:52 GMT 2024","Fri Apr 12 06:57:56 GMT 2024","4292","chromium","","QA Automation > Homepage","","","To check expansion and collapse tile in FAQ section",""
"passed","Fri Apr 12 06:57:56 GMT 2024","Fri Apr 12 06:58:01 GMT 2024","4435","chromium","","QA Automation > MoneySign Guide Page","","","To check the title of Moneysign page",""
"passed","Fri Apr 12 06:57:17 GMT 2024","Fri Apr 12 06:57:21 GMT 2024","4392","chromium","","QA Automation > Homepage","","","Click on download the App on Home Page",""
"passed","Fri Apr 12 06:59:08 GMT 2024","Fri Apr 12 06:59:14 GMT 2024","5699","chromium","","QA Automation > MoneySign Guide Page","","","Scroll down and click on download the app section",""
"passed","Fri Apr 12 06:58:47 GMT 2024","Fri Apr 12 06:58:54 GMT 2024","6515","chromium","","QA Automation > MoneySign Guide Page","","","Click on Stealthy Shark, assert response and close the card",""
"passed","Fri Apr 12 06:59:56 GMT 2024","Fri Apr 12 07:00:02 GMT 2024","5879","chromium","","QA Automation > Magazine Page","","","Go to The thing about money section, assert response and go back to the landing pagge",""
